Element 1: (1, (4, 8), ['.', '.', '%', '.'], [(18, 12), (13, 6), (18, 6)], [False, False, True, False], 98, False, [True, True, False, True], 9, 'East', (5, 8))
Element 2: (1, (5, 8), ['', '.', '%', '%'], [(18, 13), (12, 6), (17, 6)], [False, False, True, True], 96, False, [False, True, False, False], 1038, 'South', (5, 7))
Element 3: (1, (5, 7), ['.', '%', '', '.'], [(17, 13), (12, 7), (17, 5)], [False, True, False, False], 94, False, [True, False, False, True], 1077, 'East', (6, 7))
Element 4: (1, (6, 7), ['', '.', '%', '.'], [(16, 13), (13, 7), (17, 4)], [False, False, True, False], 92, False, [False, True, False, True], 1116, 'East', (7, 7))
Element 5: (1, (7, 7), ['', '.', '%', 'F'], [(16, 12), (14, 7), (18, 4)], [False, False, True, False], 90, False, [False, True, False, False], 1155, 'East', (8, 7))
Element 6: (1, (8, 7), ['', '.', '.', '%'], [(16, 11), (15, 7), (17, 4)], [False, False, False, True], 88, False, [False, True, True, False], 2174, 'North', (8, 8))
Element 7: (1, (8, 8), ['%', '', '%', '.'], [(17, 11), (16, 7), (17, 3)], [True, False, True, False], 86, False, [False, False, False, True], 2213, 'East', (9, 8))
Element 8: (1, (9, 8), ['', '%', '%', '.'], [(18, 11), (16, 6), (17, 2)], [False, True, True, False], 84, False, [False, False, False, True], 2252, 'East', (10, 8))
Element 9: (1, (10, 8), ['', '%', '%', '%'], [(18, 10), (16, 5), (17, 1)], [False, True, True, True], 82, False, [False, False, False, False], 2291, 'West', (9, 8))
Element 10: (1, (9, 8), ['', '%', '%', ''], [(18, 9), (16, 4), (18, 1)], [False, True, True, False], 80, False, [False, False, False, False], 2320, 'West', (8, 8))
Element 11: (1, (8, 8), ['%', '', '%', ''], [(18, 8), (16, 3), (17, 1)], [True, False, True, False], 78, False, [False, False, False, False], 2339, 'South', (8, 7))
Element 12: (1, (8, 7), ['', '.', '', '%'], [(17, 8), (16, 2), (16, 1)], [False, False, False, True], 76, False, [False, True, False, False], 2368, 'South', (8, 6))
Element 13: (1, (8, 6), ['.', '.', '', '.'], [(17, 9), (15, 2), (15, 1)], [False, False, False, False], 74, False, [True, True, False, True], 2407, 'East', (9, 6))
Element 14: (1, (9, 6), ['', '.', '%', '.'], [(17, 10), (15, 3), (14, 1)], [False, False, True, False], 72, False, [False, True, False, True], 2446, 'East', (10, 6))
Element 15: (1, (10, 6), ['', '.', '%', '.'], [(16, 10), (14, 3), (13, 1)], [False, False, True, False], 70, False, [False, True, False, True], 2485, 'East', (11, 6))
Element 16: (1, (11, 6), ['', '%', '.', ''], [(16, 9), (14, 4), (12, 1)], [False, True, False, False], 68, False, [False, False, True, False], 2524, 'North', (11, 7))
Element 17: (1, (11, 7), ['%', '', '%', ''], [(15, 9), (14, 5), (11, 1)], [True, False, True, False], 66, False, [False, False, False, False], 2563, 'East', (12, 7))
Element 18: (1, (12, 7), ['', '', '.', ''], [(15, 10), (15, 5), (10, 1)], [False, False, False, False], 64, False, [False, False, True, False], 3582, 'North', (12, 8))
Element 19: (1, (12, 8), ['%', '', '.', '.'], [(15, 11), (15, 6), (10, 2)], [True, False, False, False], 62, False, [False, False, True, True], 3621, 'East', (13, 8))
Element 20: (1, (13, 8), ['', '', '.', '%'], [(15, 12), (14, 6), (11, 2)], [False, False, False, True], 60, False, [False, False, True, False], 3660, 'North', (13, 9))
Element 21: (1, (13, 9), ['.', '', '%', '.'], [(14, 12), (15, 6), (11, 3)], [False, False, True, False], 58, False, [True, False, False, True], 3689, 'East', (14, 9))
Element 22: (1, (14, 9), ['', '%', '%', ''], [(14, 13), (15, 5), (12, 3)], [False, True, True, False], 56, False, [False, False, False, False], 3718, 'East', (15, 9))
Element 23: (1, (15, 9), ['', '%', '', ''], [(13, 13), (14, 5), (13, 3)], [False, True, False, False], 54, False, [False, False, False, False], 3737, 'East', (16, 9))
Element 24: (1, (16, 9), ['', '%', '', ''], [(12, 13), (14, 6), (13, 4)], [False, True, False, False], 52, False, [False, False, False, False], 3756, 'East', (17, 9))
Element 25: (1, (17, 9), ['', '', '', ''], [(11, 13), (14, 5), (13, 5)], [False, False, False, False], 50, False, [False, False, False, False], 3775, 'East', (18, 9))
Element 26: (1, (18, 9), ['', '', '', '%'], [(11, 12), (14, 4), (14, 5)], [False, False, False, True], 48, False, [False, False, False, False], 3784, 'North', (18, 10))
Element 27: (1, (18, 10), ['', '', '', '%'], [(11, 11), (13, 4), (15, 5)], [False, False, False, True], 46, False, [False, False, False, False], 3793, 'North', (18, 11))
