Element 1: (3, (15, 5), ['%', '.', '.', '.'], [(6, 3), (4, 10), (15, 9)], [True, False, False, False], 98, False, [False, True, True, True], 29, 'East', (16, 5))
Element 2: (3, (16, 5), ['', '.', '.', '%'], [(7, 3), (4, 9), (16, 9)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (16, 6))
Element 3: (3, (16, 6), ['.', '', '.', '%'], [(8, 3), (5, 9), (16, 8)], [False, False, False, True], 94, False, [True, False, True, False], 107, 'North', (16, 7))
Element 4: (3, (16, 7), ['.', '', '', '.'], [(9, 3), (6, 9), (16, 9)], [False, False, False, False], 92, False, [True, False, False, True], 136, 'East', (17, 7))
Element 5: (3, (17, 7), ['', '%', '%', '.'], [(10, 3), (7, 9), (15, 9)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (18, 7))
Element 6: (3, (18, 7), ['', '.', '.', '%'], [(11, 3), (6, 9), (15, 10)], [False, False, False, True], 88, False, [False, True, True, False], 194, 'North', (18, 8))
Element 7: (3, (18, 8), ['%', '', '.', '%'], [(12, 3), (6, 10), (15, 11)], [True, False, False, True], 86, False, [False, False, True, False], 233, 'North', (18, 9))
Element 8: (3, (18, 9), ['%', '', '.', '%'], [(13, 3), (6, 11), (16, 11)], [True, False, False, True], 84, False, [False, False, True, False], 272, 'North', (18, 10))
Element 9: (3, (18, 10), ['%', '', '', '%'], [(13, 4), (7, 11), (17, 11)], [True, False, False, True], 82, False, [False, False, False, False], 311, 'North', (18, 11))
Element 10: (3, (18, 11), ['', '', '%', '%'], [(13, 5), (8, 11), (16, 11)], [False, False, True, True], 80, False, [False, False, False, False], 330, 'West', (17, 11))
Element 11: (3, (17, 11), ['', '%', '%', ''], [(13, 6), (9, 11), (15, 11)], [False, True, True, False], 78, False, [False, False, False, False], 349, 'West', (16, 11))
Element 12: (3, (16, 11), ['', '%', '%', ''], [(13, 7), (10, 11), (15, 10)], [False, True, True, False], 76, False, [False, False, False, False], 368, 'West', (15, 11))
Element 13: (3, (15, 11), ['%', '', '%', ''], [(13, 8), (11, 11), (15, 9)], [True, False, True, False], 74, False, [False, False, False, False], 387, 'South', (15, 10))
Element 14: (3, (15, 10), ['%', '', '', '%'], [(13, 9), (12, 11), (14, 9)], [True, False, False, True], 72, False, [False, False, False, False], 406, 'South', (15, 9))
Element 15: (3, (15, 9), ['', '%', '', ''], [(13, 10), (13, 11), (13, 9)], [False, True, False, False], 70, False, [False, False, False, False], 425, 'East', (16, 9))
