Element 1: (1, (3, 9), ['%', '.', '%', '.'], [(11, 4), (11, 1), (15, 4)], [True, False, True, False], 98, False, [False, True, False, True], 999, 'East', (4, 9))
Element 2: (1, (4, 9), ['', '.', '%', '.'], [(10, 4), (12, 1), (15, 5)], [False, False, True, False], 96, False, [False, True, False, True], 2028, 'East', (5, 9))
Element 3: (1, (5, 9), ['', '.', '%', '.'], [(10, 5), (13, 1), (15, 6)], [False, False, True, False], 94, False, [False, True, False, True], 2067, 'East', (6, 9))
Element 4: (1, (6, 9), ['', '.', '%', '.'], [(11, 5), (14, 1), (15, 7)], [False, False, True, False], 92, False, [False, True, False, True], 2106, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '.', '%', '.'], [(12, 5), (13, 1), (15, 8)], [False, False, True, False], 90, False, [False, True, False, True], 2135, 'East', (8, 9))
Element 6: (1, (8, 9), ['', '.', '%', '.'], [(13, 5), (13, 2), (15, 9)], [False, False, True, False], 88, False, [False, True, False, True], 2174, 'East', (9, 9))
Element 7: (1, (9, 9), ['', '.', '%', 'F'], [(14, 5), (13, 3), (14, 9)], [False, False, True, False], 86, False, [False, True, False, False], 2213, 'East', (10, 9))
Element 8: (1, (10, 9), ['', 'F', '%', 'F'], [(14, 6), (14, 3), (14, 8)], [False, False, True, False], 84, False, [False, False, False, False], 3242, 'East', (11, 9))
Element 9: (1, (11, 9), ['', 'F', '%', '.'], [(13, 6), (15, 3), (14, 7)], [False, False, True, False], 82, False, [False, False, False, True], 4271, 'South', (11, 8))
Element 10: (1, (11, 8), ['F', '.', '', '.'], [(12, 6), (15, 2), (13, 7)], [False, False, False, False], 80, False, [False, True, False, True], 5300, 'West', (10, 8))
Element 11: #1#
