Element 1: (3, (14, 1), ['.', '%', '%', '%'], [(15, 8), (9, 2), (10, 5)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (13, 1))
Element 2: (3, (13, 1), ['.', '%', '.', ''], [(15, 9), (10, 2), (10, 4)], [False, True, False, False], 96, False, [True, False, True, False], 1058, 'North', (13, 2))
Element 3: (3, (13, 2), ['%', '', '.', '%'], [(14, 9), (10, 3), (11, 4)], [True, False, False, True], 94, False, [False, False, True, False], 2087, 'North', (13, 3))
Element 4: (3, (13, 3), ['.', '', '.', '.'], [(13, 9), (11, 3), (12, 4)], [False, False, False, False], 92, False, [True, False, True, True], 2126, 'East', (14, 3))
Element 5: (3, (14, 3), ['', '%', '.', '.'], [(13, 8), (12, 3), (13, 4)], [False, True, False, False], 90, False, [False, False, True, True], 2165, 'East', (15, 3))
Element 6: (3, (15, 3), ['', '.', '.', '%'], [(13, 7), (13, 3), (14, 4)], [False, False, False, True], 88, False, [False, True, True, False], 2194, 'North', (15, 4))
Element 7: (3, (15, 4), ['', '', '.', '%'], [(14, 7), (14, 3), (14, 5)], [False, False, False, True], 86, False, [False, False, True, False], 2223, 'North', (15, 5))
Element 8: (3, (15, 5), ['', '', '.', '%'], [(15, 7), (15, 3), (14, 6)], [False, False, False, True], 84, False, [False, False, True, False], 2252, 'North', (15, 6))
Element 9: (3, (15, 6), ['', '', '', '%'], [(14, 7), (15, 2), (13, 6)], [False, False, False, True], 82, False, [False, False, False, False], 2281, 'North', (15, 7))
Element 10: (3, (15, 7), ['', '', '', '%'], [(14, 6), (15, 3), (13, 5)], [False, False, False, True], 80, False, [False, False, False, False], 2290, 'North', (15, 8))
Element 11: (3, (15, 8), ['', '', '', '%'], [(15, 6), (15, 4), (12, 5)], [False, False, False, True], 78, False, [False, False, False, False], 2299, 'North', (15, 9))
Element 12: (3, (15, 9), ['', '', '%', '%'], [(15, 5), (14, 4), (12, 6)], [False, False, True, True], 76, False, [False, False, False, False], 2308, 'West', (14, 9))
Element 13: (3, (14, 9), ['', '', '%', ''], [(15, 4), (14, 5), (12, 7)], [False, False, True, False], 74, False, [False, False, False, False], 2317, 'South', (14, 8))
Element 14: (3, (14, 8), ['', '', '', ''], [(15, 3), (15, 5), (12, 8)], [False, False, False, False], 72, False, [False, False, False, False], 2326, 'South', (14, 7))
Element 15: (3, (14, 7), ['', '', '', ''], [(15, 2), (15, 6), (11, 8)], [False, False, False, False], 70, False, [False, False, False, False], 3325, 'South', (14, 6))
Element 16: (3, (14, 6), ['', '', '', ''], [(15, 3), (15, 7), (11, 9)], [False, False, False, False], 68, False, [False, False, False, False], 4324, 'South', (14, 5))
Element 17: (3, (14, 5), ['', '', '', ''], [(14, 3), (15, 8), (10, 9)], [False, False, False, False], 66, False, [False, False, False, False], 5323, 'South', (14, 4))
Element 18: #1#
